,Case_No,Days_of_Mon,Time_occured(24hr),Areas,Zip_Codes,Crimes,Weapons
0,221008086,17,0700,West Valley,91335,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
1,221809363,18,0830,Southeast,90059,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
2,220407651,15,1700,Hollenbeck,90031,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
3,221809380,17,1900,Southeast,90002,BURGLARY,UNKNOWN WEAPON/OTHER WEAPON
4,221108036,18,0935,Northeast,90039,VEHICLE - STOLEN,
5,220508110,9,2000,Harbor,90731,BIKE - STOLEN,
6,220309229,18,0110,Southwest,90037,CRIMINAL THREATS - NO WEAPON DISPLAYED,OTHER CUTTING INSTRUMENT
7,220708116,18,0645,Wilshire,90019,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
8,220110578,6,1212,Central,90015,THEFT OF IDENTITY,
9,221600621,18,1130,Foothill,91331,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN WEAPON/OTHER WEAPON
10,221409382,8,1200,Pacific,90245,BURGLARY FROM VEHICLE,
11,221409351,1,1025,Pacific,90291,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
12,220200693,2,1700,Rampart,90017,BURGLARY,
13,220400695,18,0303,Hollenbeck,90023,BURGLARY,
14,221309804,18,0800,Newton,90011,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
15,222008594,10,1100,Olympic,90006,VEHICLE - STOLEN,
16,221108073,18,1616,Northeast,90041,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
17,221908392,17,1300,Mission,91406,OTHER MISCELLANEOUS CRIME,
18,221108042,16,0001,Northeast,90029,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
19,221809359,18,1050,Southeast,90044,VEHICLE - STOLEN,
20,220708134,15,1100,Wilshire,90048,BURGLARY,
21,221409395,17,2200,Pacific,90066,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
22,220808365,15,1800,West LA,90025,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
23,220508090,17,0914,Harbor,90710,OTHER MISCELLANEOUS CRIME,
24,222008575,17,1530,Olympic,90006,VEHICLE - STOLEN,
25,220110555,15,0001,Central,90012,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
26,221108071,18,1215,Northeast,90026,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
27,221508435,17,1633,N Hollywood,90068,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
28,220309248,17,1000,Southwest,90037,VEHICLE - STOLEN,
29,220908106,15,1200,Van Nuys,91403,THEFT OF IDENTITY,
30,221210200,15,1300,77th Street,90003,VEHICLE - STOLEN,
31,220110553,14,1000,Central,90012,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
32,221707861,8,1500,Devonshire,91343,"BUNCO, GRAND THEFT",
33,221707860,18,1000,Devonshire,91343,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
34,220309272,10,1600,Southwest,90016,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
35,221108066,18,1130,Northeast,90027,BURGLARY FROM VEHICLE,
36,220908091,17,1200,Van Nuys,91607,VEHICLE - STOLEN,
37,221409339,17,2100,Pacific,90293,VEHICLE - STOLEN,
38,220708077,18,0210,Wilshire,90069,ROBBERY,HAND GUN
39,221409383,14,2000,Pacific,90066,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
40,221210184,17,1800,77th Street,90001,VEHICLE - STOLEN,
41,221809387,8,2125,Southeast,90003,THEFT OF IDENTITY,
42,221008082,1,0001,West Valley,91356,BATTERY WITH SEXUAL CONTACT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
43,221707862,18,0217,Devonshire,91344,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
44,221210198,18,1516,77th Street,90003,CRIMINAL HOMICIDE,SEMI-AUTOMATIC PISTOL
45,220110552,18,0920,Central,90017,ATTEMPTED ROBBERY,OTHER KNIFE
46,220309266,18,1425,Southwest,90008,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
47,220908113,17,2000,Van Nuys,91405,VEHICLE - STOLEN,
48,220708086,17,1445,Wilshire,90048,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
49,221309791,11,0900,Newton,90003,VEHICLE - STOLEN,
50,220309256,18,1400,Southwest,90008,INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
51,221210186,17,1700,77th Street,90003,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
52,220407635,17,2030,Hollenbeck,90032,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
53,220110524,17,1900,Central,90014,BURGLARY,UNKNOWN WEAPON/OTHER WEAPON
54,220309253,8,1400,Southwest,90018,VEHICLE - STOLEN,
55,221210171,17,2100,77th Street,90062,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
56,220508099,14,1500,Harbor,90731,VEHICLE - STOLEN,
57,220808333,15,1040,West LA,90025,THEFT OF IDENTITY,
58,221809374,17,2300,Southeast,90003,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
59,220908086,17,2200,Van Nuys,91423,INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
